group,sub,symbol,amt_1d,chg_1d,amt_5d,chg_5d,amt_20d,chg_20d,amt_60d,chg_60d,amt_1y,chg_1y,amt_ytd,ytd
電子–電子零組件,電子上游-被動元件,九豪,4.86,2.86,41.68407,7.48,128.07585,29.05,174.85775,60.04,212.26097,43.73,41.68407,7.48
建材營建,傳產-營建,中工,1.18,1.93,4.39544,1.17,25.65849,-2.26,167.02008,25.36,285.34269,38.5,4.39544,1.17
電子–半導體,電子上游-IC-封測,華東,60.8,-3.58,287.98684,26.92,768.61093,51.57,1580.62799,209.59,1765.16639,480.8,287.98684,26.92
其他,傳產-航運,晟田,2.7,10,1.77738,0.73,6.49288,-0.84,33.44267,-14.96,1191.51877,36.2,1.77738,0.73
化學工業,傳產-化學工業,台特化,28.1,0.54,122.60165,17.09,182.21834,20.33,467.35845,12.12,1916.96068,85.73,122.60165,17.09
建材營建,傳產-營建,工信,6.22,9.98,24.01334,-5.57,78.06216,40.89,108.54126,87.66,157.14361,123.63,24.01334,-5.57
電子–通信網路,電子中游-網通,中磊,2.06,-0.63,22.14781,-1.01,36.80487,-4.95,83.67918,-19.92,656.85517,-27.05,22.14781,-1.01
電子–電腦及週邊設備,電子下游-筆記型電腦,神基,2.38,1.31,19.13559,-2.14,58.52241,-4.98,173.93023,-21.84,1051.05563,6.62,19.13559,-2.14
貿易百貨,傳產-百貨,統一超,1.41,0.92,31.40493,-1.35,98.61491,-4.79,297.87247,-10.63,975.2036,-12.98,31.40493,-1.35
電子–光電,電子下游-太陽能,茂迪,2.45,-1.83,15.48397,1.86,76.7565,25.86,88.48553,30.36,154.03259,16.37,15.48397,1.86
金融保險,金融-金控,兆豐金,4.67,0,28.78892,1.13,151.73327,-0.61,420.79363,-2.88,1821.00762,9.27,28.78892,1.13
電子–其他電子,電子中游-儀器設備工程,巨漢,1.97,2.9,25.25773,-5.49,112.40106,33.73,129.98266,56.1,159.08851,90.83,25.25773,-5.49
汽車工業,傳產-汽車,裕隆,1.67,-1.72,8.62928,-3.62,49.61565,-3.91,140.84284,-3.33,333.0665,-26.75,8.62928,-3.62
化學工業,傳產-化學工業,台肥,1.31,-0.43,7.69625,-2.72,28.10038,-1.38,61.18288,-4.81,233.70948,-1.8,7.69625,-2.72
化學工業,傳產-化學工業,長興,25.4,-1.74,194.0169,26.65,243.41927,27.9,389.22189,25.42,902.76364,98.7,194.0169,26.65
電子–半導體,電子上游-IC-設計,義隆,2.34,0.85,11.41386,-0.42,55.3311,-7.45,128.52046,-8.88,673.66017,-13.41,11.41386,-0.42
電子–其他電子,電子中游-儀器設備工程,友威科,1.02,-3,10.682,7.52,16.51993,18.81,21.57315,14.73,144.75852,-4.57,10.682,7.52
電器電纜,傳產-電線電纜,大亞,1.04,-0.65,8.55307,0.92,36.64474,-2.42,147.4428,-8.81,655.20629,-0.6,8.55307,0.92
電子–電腦及週邊設備,電子中游-NB與手機零組件,銘異,6.85,-9.44,34.60457,15.12,142.92525,19.84,222.97069,56.87,292.36599,65.31,34.60457,15.12
航運業,傳產-航運,台灣虎航,0.098,-0.3,3.99291,3.41,24.26108,-0.6,69.39123,-11.42,958.19995,-19.04,3.99291,3.41
電子–通信網路,電子下游-消費電子,美律,2.26,-1.39,12.92365,3.38,56.97044,1,153.24217,-0.49,723.03127,5.09,12.92365,3.38
紡織纖維,傳產-紡織纖維,儒鴻,7.19,0.25,25.78575,5.07,61.10107,1.38,190.05992,-8.91,894.58382,-18.06,25.78575,5.07
電子–電子通路,電子上游-IC-通路,利機,0.00807,0.27,1.19543,-1.34,12.98237,38.16,16.66192,18.17,51.16931,1.81,1.19543,-1.34
生技醫療,傳產-生技,禾榮科,1.28,-2.17,16.559,-13.4,54.71717,-34.4,158.0914,-35.9,294.7349,0,16.559,-13.4
電子–光電,電子中游-其他,乙盛-KY,1,1.94,8.53175,0.26,27.34161,-6.18,152.98589,6.61,323.11539,33.33,8.53175,0.26
電子–電子零組件,電子上游-被動元件,晶技,1.41,0.88,10.71976,-0.87,28.20782,-6.24,88.78488,-10.35,347.60235,-15.5,10.71976,-0.87
電子–其他電子,電子上游-PCB-材料設備,聯策,0.03061,-3.13,2.37963,-1.88,8.50118,16.63,11.98062,-3.69,268.40116,-10.77,2.37963,-1.88
電子–通信網路,電子上游-被動元件,璟德,1.29,0.71,5.84733,-3.74,36.5218,26.34,42.33224,24.12,86.71708,-4.96,5.84733,-3.74
電子–光電,電子中游-LCD-TFT面板,彩晶,16.2,-9.87,45.82454,49.36,58.15578,60.91,73.63443,45.99,150.51459,53.69,45.82454,49.36
化學工業,傳產-化學工業,中華化,3.56,-2.03,48.40359,7.96,105.55094,21.09,182.77509,17.88,356.73589,70.99,48.40359,7.96
生技醫療,傳產-生技,東洋,0.02898,0.49,2.28443,0.61,9.97479,-2.96,40.33106,1.74,127.30661,16.61,2.28443,0.61
電子–半導體,電子上游-晶圓材料,合晶,4.35,-2.37,47.51976,9.74,95.44507,16.55,226.71536,7.81,504.39959,45.69,47.51976,9.74
電子–電子通路,電子上游-半導體元件,崇越,0.09718,0.17,10.06961,3.61,36.07044,-1.47,146.33712,-4.44,450.62064,11.4,10.06961,3.61
橡膠工業,傳產-橡膠,正新,3.54,-1.15,21.69904,3.05,56.1714,-2.09,166.73796,-15.44,635.79724,-35.74,21.69904,3.05
電子–半導體,電子上游-IC-封測,同欣電,1.88,0,18.84345,-7.87,88.21796,-0.81,188.95156,11.31,455.44482,6.75,18.84345,-7.87
電子–光電,電子中游-LCD-零組件,華宏,1.92,-2.58,7.25118,15.9,10.10209,30.03,12.30063,20.99,46.61474,13.73,7.25118,15.9
電子–半導體,電子上游-IC-代工,宏捷科,2.79,0.91,15.11545,3.29,56.83091,0.46,177.29337,-2.22,593.143,12.84,15.11545,3.29
電子–光電,電子上游-LED照明及光元件,冠西電,2.06,1.78,4.9112,1.36,28.41118,16.23,44.9279,19.54,249.1004,-15.88,4.9112,1.36
電子–通信網路,電子上游-LED照明及光元件,萊德光電-KY,0.03206,-1.31,3.08577,5.55,37.97915,45.51,60.3099,0,60.3099,0,3.08577,5.55
電子–電子通路,電子中游-儀器設備工程,蔚華科,0.04144,3.43,2.80687,-10.03,23.46481,-4.63,36.98761,18.64,97.41549,5.77,2.80687,-10.03
運動休閒,傳產-其他,鈺齊-KY,1.02,3,4.96551,-1.96,16.95459,-7.41,104.79267,-2.91,511.56955,-10.69,4.96551,-1.96
電子–半導體,電子上游-IC-設計,宏觀,1.08,3.59,2.44054,-3.46,13.87054,20.1,16.55092,9.13,91.09172,-8.28,2.44054,-3.46
電子–電腦及週邊設備,電子下游-顯示器,佳世達,0.09605,0.21,9.79729,2.55,37.05779,-10.58,84.27524,-23.73,371.69181,-31.9,9.79729,2.55
電子–半導體,電子上游-IC-設計,沛亨,0.05421,-2.14,6.52076,-4.35,52.57705,6.55,113.32269,30.77,226.02791,157.08,6.52076,-4.35
電子–其他電子,電子上游-連接元件,匯鑽科,3.16,-2.92,38.63921,16.74,95.50436,35.16,108.52963,101.33,152.84381,39.87,38.63921,16.74
電機機械,傳產-電機,東台,0.02634,1.46,4.37208,-3,16.38978,-4.5,40.33248,-7.66,446.31278,8.08,4.37208,-3
電子–半導體,電子上游-IC-設計,威盛,1.21,-0.99,7.66305,-2.88,96.4668,-19.04,154.77457,-7.83,606.84524,-40.77,7.66305,-2.88
電子–資訊服務,軟體-系統整合,零壹,0.05593,0,4.75075,-0.44,17.34717,-0.44,57.94638,-1.32,1266.18513,-5.32,4.75075,-0.44
電子–其他電子,電子中游-其他,竹陞科技,1.15,1.98,21.96508,-5.49,89.52024,-7.47,254.96749,-16.94,861.02893,256.01,21.96508,-5.49
運動休閒,傳產-其他,志強-KY,1.44,-0.48,5.88239,-1.42,13.3138,-9.96,59.83766,-11.86,451.12706,-10.21,5.88239,-1.42
綠能環保,傳產-綠能環保,昶昕,0.01772,-2.5,7.2288,23.87,10.78779,77.74,11.72919,68.51,23.53781,84.7,7.2288,23.87
電子–電子零組件,電子上游-PCB-材料設備,川寶,0.00507,1.15,0.9402,-9.27,4.07656,3.57,5.99907,2.22,35.92342,-9.14,0.9402,-9.27
電子–半導體,電子上游-IC-設計,神盾,1.16,-2.97,9.18753,-2.07,33.18884,-10.61,248.77753,-7.09,900.83384,-19.18,9.18753,-2.07
化學工業,傳產-化學工業,南寶,1.04,0.78,6.2757,2.23,19.70274,0,75.91653,-14.95,605.15505,7.8,6.2757,2.23
電子–半導體,電子上游-IC-封測,頎邦,1.14,-1.46,13.82824,1.48,30.05184,3.01,96.31389,-3.36,410.32179,-6,13.82824,1.48
電子–電子零組件,電子下游-電腦周邊,致伸,2.54,2.98,18.48618,0.39,47.00901,-2.03,141.12711,1.31,463.20993,5.89,18.48618,0.39
電子–電子零組件,電子上游-被動元件,臺慶科,3.09,1.59,45.18329,7.17,65.96331,0.64,263.50014,12.14,338.81047,46.05,45.18329,7.17
電子–半導體,電子上游-IC-封測,典範,0.08382,0,3.83099,5.8,12.57903,21.6,23.46286,18.13,35.17918,67.65,3.83099,5.8
電子–電子零組件,電子下游-資訊通路,好德,0.00387,-0.96,0.38059,-3.7,2.17603,3.17,3.16917,-1.14,6.70072,9.01,0.38059,-3.7
電子–光電,電子下游-太陽能,聯合再生,1.57,-4.03,8.31917,9.52,37.06134,45.98,51.90389,48.27,107.41034,4.2,8.31917,9.52
電機機械,電子上游-IC-其他,易發,0.04985,0.6,3.63973,-2.47,25.40792,1.22,59.65295,17.07,141.61322,33.23,3.63973,-2.47
電子–電腦及週邊設備,電子下游-工業電腦,研華,4.41,0.7,22.18881,-0.87,83.39915,0.35,327.33094,-10.92,1519.60965,-18.1,22.18881,-0.87
汽車工業,傳產-汽車,吉茂,1.57,4.75,4.6301,2.23,30.71473,15.96,51.02817,31.51,86.52035,55,4.6301,2.23
電子–半導體,電子上游-IC-設計,天鈺,1.61,-2.03,19.2791,3.14,41.14141,6.09,75.46083,-8.07,273.94796,-28.52,19.2791,3.14
食品工業,傳產-食品,卜蜂,1.55,1.1,7.42902,3.8,69.08169,-4.55,162.06141,-2.5,346.6156,55.2,7.42902,3.8
電子–其他電子,電子中游-儀器設備工程,信紘科,0.09234,0.19,9.37218,-3.37,48.07744,1.18,102.42636,0,743.42487,63.63,9.37218,-3.37
電子–半導體,電子上游-IC-代工,全訊,0.05708,-0.76,3.54863,1.55,11.84521,1.95,63.14748,-15.48,257.89593,37.24,3.54863,1.55
電機機械,傳產-電機,中興電,3.43,0.69,17.73821,-3.01,79.23964,-3.33,387.78488,-6.75,2145.41559,-2.24,17.73821,-3.01
電子–電子零組件,電子上游-被動元件,金山電,8.85,10,42.71086,8.21,84.94432,-1.19,319.06195,44.46,374.66679,64.12,42.71086,8.21
綠能環保,傳產-綠能環保,上緯投控,0.08243,0.92,4.52151,-1.8,24.7223,4.81,114.12674,-6.03,679.06957,38.38,4.52151,-1.8
電子–電腦及週邊設備,電子中游-主機板,華擎,1.55,1.45,12.26836,-2.42,47.36567,-2.22,178.85824,-18.93,734.8509,12.19,12.26836,-2.42
電子–光電,電子上游-PCB-材料設備,達興材料,4.19,-1.76,54.28382,6.48,90.30542,12.82,218.87174,-1.47,1143.87251,97.7,54.28382,6.48
電子–電子零組件,電子上游-PCB-製造,博智,4.09,4.71,9.02519,1.19,46.43483,-9.09,192.84866,3.03,741.03826,71.1,9.02519,1.19
電子–通信網路,傳產-電線電纜,萬泰科,4.36,2.35,18.38464,6.73,79.36005,10.64,132.43435,14.57,544.95653,51.07,18.38464,6.73
其他,傳產-鋼鐵,統一實,0.08923,1.36,3.8573,3.37,20.19285,-2.65,50.34933,2.51,189.93732,32.37,3.8573,3.37
電機機械,傳產-電機,上銀,4.08,1.8,21.84572,0,64.37795,-2.27,292.60347,-9.98,3154.76374,-31.13,21.84572,0
電子–光電,電子中游-機殼,能率,0.06785,-0.64,13.33279,-1.36,35.17788,-4.28,177.92173,-5.43,841.74316,59.7,13.33279,-1.36
金融保險,金融-保險,三商壽,0.05819,-0.13,6.06864,-2.5,32.30989,2.63,107.72437,27.66,205.47098,29.14,6.06864,-2.5
電子–光電,電子上游-LED照明及光元件,銘旺科,0.02756,-0.13,1.97291,-5.11,12.63964,-8.31,50.5568,-37.62,784.78954,151.16,1.97291,-5.11
電子–電子零組件,電子上游-被動元件,凱美,2.52,2.25,27.99626,-2.42,67.87752,-8.17,642.46412,14.73,935.51728,50.28,27.99626,-2.42
電子–電子零組件,電子上游-被動元件,立隆電,3.48,3.29,47.93874,-0.47,92.7618,-3.18,470.91162,24.27,963.55776,40.33,47.93874,-0.47
電子–電子零組件,電子上游-連接元件,信邦,1.56,2.12,16.61622,-2.08,44.99972,-13.33,162.58597,-14.32,935.2688,-22.75,16.61622,-2.08
電子–半導體,電子上游-IC-封測,菱生,5.11,0.81,33.28955,8.81,68.41684,7.39,148.46203,19.9,221.79732,55.64,33.28955,8.81
電子–電子通路,電子上游-IC-通路,益登,1.75,1.32,50.89234,0,93.79905,-0.95,207.53678,12.15,345.14786,47.34,50.89234,0
電子–電子零組件,電子上游-被動元件,鈞寶,4.7,5.71,22.91082,3.29,65.13435,0.44,133.61297,89.58,140.96089,100.71,22.91082,3.29
電子–半導體,電子上游-IC-封測,久元,0.06517,3.85,3.74907,3.54,9.01181,9.86,13.38066,18.38,34.70413,25.63,3.74907,3.54
電子–電腦及週邊設備,電子中游-PC介面卡,圓剛,0.02685,-1.4,3.47343,1.03,10.17693,6.66,15.50403,-2.36,202.26349,-11.02,3.47343,1.03
電子–半導體,電子上游-IC-設計,原相,2.08,0.48,19.30007,1.98,45.48691,0.49,206.5579,-13.6,1842.23729,-3.57,19.30007,1.98
電子–通信網路,電子上游-半導體元件,聯亞,3.77,-2.71,19.72387,2.28,289.41225,8.85,943.03022,47.36,3297.15916,70.39,19.72387,2.28
航運業,傳產-航運,慧洋-KY,7.04,2.45,11.95111,2.36,55.87481,0.43,289.80389,11.56,1402.45776,15.22,11.95111,2.36
電子–電子通路,電子上游-IC-通路,華立,0.09279,0.92,6.88358,0.93,37.84645,-8.05,93.62705,17.93,240.07613,3.3,6.88358,0.93
電子–半導體,電子上游-IC-設計,瑞鼎,1.17,-0.9,14.87765,-2.63,65.8096,5.97,114.29524,-16.38,294.7073,-37.57,14.87765,-2.63
金融保險,金融-銀行,台中銀,1.55,0,8.2316,0,41.51535,-0.95,99.3419,-5.24,387.44388,22.35,8.2316,0
綠能環保,電子中游-儀器設備工程,世禾,1.99,3.95,28.95044,-4.52,99.68098,-1.55,200.57736,9.51,745.43923,46.99,28.95044,-4.52
航運業,傳產-航運,新興,3.48,2.6,8.37796,3.45,50.36635,-3.41,180.69911,19.51,365.4564,16.36,8.37796,3.45
電子–電子零組件,電子中游-二次電池,長園科,2.85,8.6,4.04004,11.81,12.11554,14.32,32.81418,9.18,118.27703,103.04,4.04004,11.81
其他,傳產-其他,裕融,1.21,0.25,9.18842,-4.91,32.01254,-12.1,63.97177,-16.85,219.22619,-19.25,9.18842,-4.91
電子–電子零組件,電子上游-連接元件,金橋,0.02135,0.75,1.87416,-3.85,22.98295,7.24,31.70396,20.48,61.07491,14.94,1.87416,-3.85
鋼鐵工業,傳產-鋼鐵,沛波,0.00435,-0.24,0.34222,-1.17,1.67528,11.87,2.63985,4.95,12.88585,-12.9,0.34222,-1.17
航運業,傳產-航運,裕民,4.73,1.3,18.48819,1.66,95.24053,-2.54,323.65013,12.04,1508.65333,9.92,18.48819,1.66
電子–半導體,電子上游-IC-設計,創惟,5.62,9.85,6.39829,-1.28,35.54928,-12,78.89923,-16,1027.90121,-34.82,6.39829,-1.28
其他,傳產-其他,能率亞洲,0.01278,0.62,1.82928,-11.13,7.10524,0,7.10524,0,7.10524,0,1.82928,-11.13
電子–電腦及週邊設備,電子中游-主機板,映泰,0.04121,1.42,11.95409,-5.93,39.62829,-1.6,114.02071,12.84,193.01178,2.07,11.95409,-5.93
電子–半導體,電子上游-IC-封測,訊芯-KY,1.14,-1.29,8.21731,-6.93,57.01525,-7.49,128.66278,9.57,772.5108,-32.07,8.21731,-6.93
航運業,傳產-航運,台船,0.06154,0,3.64719,0.5,12.1012,-2.43,71.8486,-14.65,410.88057,40.56,3.64719,0.5
電子–半導體,電子上游-IC-導線架,順德,0.06302,-0.81,4.59045,-4.77,11.98768,-6.46,96.84466,-8.99,348.48246,-11.47,4.59045,-4.77
生技醫療,傳產-生技,訊聯,0.02528,-1.87,2.9104,3.38,18.10437,6.47,47.1587,32.92,88.75939,36.76,2.9104,3.38
電子–電腦及週邊設備,電子中游-機殼,營邦,17.8,-2.95,11.15525,27.19,30.20398,33.9,147.51047,31.67,492.32589,17.65,11.15525,27.19
電子–半導體,電子上游-IC-製造,德微,0.022,0.75,2.33646,0.37,7.25887,-0.74,69.37674,-7.59,212.73283,-27.78,2.33646,0.37
電子–電子通路,電子上游-IC-導線架,長華*,1.46,0.77,7.86833,4.03,34.0506,-0.48,113.85242,1.05,452.01986,17.43,7.86833,4.03
電機機械,傳產-電機,亞力,1.84,1.66,7.82912,-2.91,59.87314,-1.53,249.49148,-4.83,1163.90021,9.54,7.82912,-2.91
電子–其他電子,電子下游-其他,所羅門,1.12,-1.89,32.29606,5.18,49.41453,-0.38,178.90617,-2.22,1620.97595,-7.96,32.29606,5.18
建材營建,傳產-營建,冠德,0.06326,0.61,5.33831,-3.41,42.99269,-0.91,65.35124,-2.54,353.4833,-20.76,5.33831,-3.41
電子–半導體,電子上游-晶圓材料,漢磊,4.13,-4.95,47.40902,9.27,74.50388,12.97,241.55957,-2.75,944.31721,39.07,47.40902,9.27
鋼鐵工業,傳產-鋼鐵,世紀鋼,1.26,-2.21,13.37726,-2.87,26.43937,-2.87,104.92511,-20.29,1615.85722,-5.15,13.37726,-2.87
電子–電子零組件,電子中游-電源供應器,僑威,0.06017,-0.15,5.62268,-3.15,19.6698,-4.25,54.95755,-10.94,1036.45796,-8.75,5.62268,-3.15
建材營建,傳產-營建,皇昌,0.08067,0,15.29023,3.99,30.61938,4.52,107.67736,-14.94,1526.27284,9.98,15.29023,3.99
運動休閒,傳產-高爾夫球,復盛應用,0.08593,0.38,5.01605,2.74,29.73116,6.71,60.90028,2.74,468.15511,-15.06,5.01605,2.74
化學工業,傳產-化學工業,康普,0.04734,0.74,5.09194,3.53,16.88546,-10.95,47.57565,-3.71,152.16565,32.59,5.09194,3.53
電子–半導體,電子上游-IC-半導體設備,公準,0.00489,1.54,0.72747,-3.62,4.10748,19.59,4.97581,3.35,18.58817,-6.36,0.72747,-3.62
電子–其他電子,傳產-其他,旭暉應材,0.00868,3.1,1.80545,4.7,3.175,5.9,5.17253,-6.38,29.36631,-5.83,1.80545,4.7
電子–其他電子,電子上游-IC-其他,汎銓,2.42,1.37,10.55048,5.17,28.28347,8.93,46.43691,13.31,252.8867,15,10.55048,5.17
汽車工業,傳產-汽車,和泰車,0.09703,0.19,9.75478,-2,52.71782,-8.8,111.16695,-6.26,425.88719,-6.98,9.75478,-2
金融保險,金融-銀行,彰銀,2.96,0,43.11407,0.24,101.49536,-0.24,271.32375,1.49,995.0729,24.77,43.11407,0.24
運動休閒,傳產-其他,豐泰,2.4,-4.04,9.63486,-4.29,26.3217,-9.35,69.22529,-14.89,301.73026,-10.47,9.63486,-4.29
電子–電子零組件,電子上游-PCB-材料設備,亞泰金屬,0.0356,0.29,6.76364,-4.18,29.10331,-3.37,57.87196,-8.51,148.41399,127.48,6.76364,-4.18
紡織纖維,傳產-紡織纖維,聚陽,8.01,2.75,21.29396,7.28,85.80685,4.92,241.79464,11.13,1159.18573,-2.64,21.29396,7.28
汽車工業,傳產-汽車零組件,東陽,1.05,-0.42,10.55885,-1.86,61.55412,3.59,177.78219,4.04,998.08025,-9.03,10.55885,-1.86
電子–電子零組件,電子上游-被動元件,千如,2.24,4.21,18.744,5.13,53.54478,6.64,144.35368,56.73,160.19561,59.51,18.744,5.13
電子–電子零組件,電子上游-連接元件,瀚荃,5.53,-1.34,22.52413,12.82,69.02677,5.56,195.12877,56.36,293.59704,92.68,22.52413,12.82
鋼鐵工業,傳產-鋼鐵,中鴻,1.17,-1.21,13.74607,5.08,28.03364,10.33,52.05421,5.41,404.13008,1.53,13.74607,5.08
油電燃氣,傳產-塑膠,台塑化,2.7,0.32,14.44936,-0.42,46.90461,-7.03,252.71149,16.67,798.61296,38.45,14.44936,-0.42
電子–光電,電子中游-LCD-TFT面板,州巧,3.51,10,3.45643,1.8,21.37869,-9.38,132.81065,19.89,289.90684,95.76,3.45643,1.8
電子–其他電子,電子中游-變壓器與UPS,碩天,1.93,-1.55,7.60856,-8.75,19.91132,-1.53,60.613,-19.25,320.38122,-41.81,7.60856,-8.75
化學工業,電子上游-PCB-材料設備,上品,1.5,2.74,8.98335,2.6,21.79803,1.28,52.89513,-13.03,615.25765,-14.47,8.98335,2.6
汽車工業,傳產-汽車零組件,帝寶,1.02,3.27,3.34035,-1.43,20.38414,1.1,61.94314,3.77,232.05885,-31.32,3.34035,-1.43
電子–電子零組件,電子上游-PCB-製造,騰輝電子-KY,0.09923,3.4,4.56477,-4.64,20.22579,0.34,42.59533,-1.67,466.15626,15.99,4.56477,-4.64
汽車工業,傳產-汽車零組件,為升,0.0614,0.84,2.85257,2.69,9.94568,-0.52,63.8296,-19.83,300.79087,-1.22,2.85257,2.69
電子–電子零組件,電子中游-電源供應器,華容,1.47,3.69,8.02199,-1.21,29.75376,-7.29,167.16572,21.86,218.80118,40.73,8.02199,-1.21
金融保險,金融-金控,華南金,1.08,0.63,14.24534,1.61,145.00157,2.61,283.53863,7.69,975.55082,24.02,14.24534,1.61
居家生活,傳產-其他,億豐,1.67,-0.66,12.6347,4.99,61.54415,-3.93,200.62359,-5.96,798.10927,-5.53,12.6347,4.99
電子–半導體,電子上游-晶圓材料,台勝科,5.96,-2.64,52.35041,19.35,76.71983,14.3,185.85243,8.1,431.11159,37.69,52.35041,19.35
電子–電子零組件,電子上游-連接元件,鉅祥,1.76,0.77,10.18431,4.85,25.1053,1.23,93.28965,-10.54,607.42605,16.84,10.18431,4.85
電子–半導體,電子上游-IC-設計,類比科,0.00713,-1.1,1.44231,-2.86,3.90027,-0.73,10.08295,18.52,20.01748,1.57,1.44231,-2.86
其他,傳產-其他,天品,0.04939,1.87,2.14594,-0.93,5.59169,10.77,12.95533,9.41,91.51249,-15.42,2.14594,-0.93
其他,傳產-營建,潤泰新,1.43,0,14.38694,-1.68,37.83188,0.69,93.46758,0.69,512.03901,-24.74,14.38694,-1.68
建材營建,傳產-營建,華固,0.07302,0.44,4.0334,-1.72,39.32109,10.1,72.01868,15.66,282.28889,19.47,4.0334,-1.72
水泥工業,傳產-水泥,亞泥,1.44,0,28.27622,-0.27,111.0757,-3.01,188.09353,0.41,806.53541,-0.48,28.27622,-0.27
其他,傳產-水泥,國統,0.0603,1.31,3.11742,-3.25,13.51116,-5.13,88.79157,-0.43,293.33028,11.13,3.11742,-3.25
生技醫療,傳產-生技,晶碩,0.0466,-0.86,4.24633,1.75,14.05649,0,58.18536,-5.23,208.91367,-15.75,4.24633,1.75
建材營建,傳產-營建,國產,0.04269,1.22,6.86147,-2.77,37.4036,5.14,68.98544,7.28,349.88946,-8.13,6.86147,-2.77
運動休閒,傳產-其他,波力-KY,0.00983,-0.88,1.4045,-5.83,7.07882,7.99,10.3845,7.99,87.80417,-38.08,1.4045,-5.83
建材營建,傳產-營建,興富發,1.5,1.52,7.20287,-2.11,42.2957,4.24,108.1539,1.03,480.25806,4.6,7.20287,-2.11
電子–電子零組件,電子上游-連接元件,宏致,0.07623,-1.64,8.75145,-2.09,20.13753,-2.25,73.99595,-10.31,932.03163,35.33,8.75145,-2.09
電子–半導體,電子上游-IC-半導體設備,雍智科技,1.85,1.55,11.78035,-6.62,48.50302,-13.59,178.18224,5.15,734.32043,-14.02,11.78035,-6.62
電子–電子零組件,電子上游-連接元件,佳必琪,1.49,0.34,32.19967,6.47,48.39746,14.29,132.5781,-8.07,688.77504,16.84,32.19967,6.47
電機機械,傳產-電機,亞德客-KY,6.82,1.73,25.53063,5.59,90.25414,6.62,401.21148,14.05,1832.46397,20.48,25.53063,5.59
電子–其他電子,電子下游-其他,達明,0.05156,-0.3,8.42927,-1.04,21.1959,-3.6,103.89565,-19.2,181.90665,0,8.42927,-1.04
